index	subject	issuer	serial	not_before	not_after	sha256_fingerprint	der_sha256
037.pem	C = FR, O = Dhimyotis, CN = Certigna	C = FR, O = Dhimyotis, CN = Certigna	FEDCE3010FC948FF	Jun 29 15:13:05 2007 GMT	Jun 29 15:13:05 2027 GMT	E3:B6:A2:DB:2E:D7:CE:48:84:2F:7A:C5:32:41:C7:B7:1D:54:14:4B:FB:40:C1:1F:3F:1D:0B:42:F5:EE:A1:2D	e3b6a2db2ed7ce48842f7ac53241c7b71d54144bfb40c11f3f1d0b42f5eea12d
038.pem	C = DE, O = Deutsche Telekom AG, OU = T-TeleSec Trust Center, CN = Deutsche Telekom Root CA 2	C = DE, O = Deutsche Telekom AG, OU = T-TeleSec Trust Center, CN = Deutsche Telekom Root CA 2	26	Jul  9 12:11:00 1999 GMT	Jul  9 23:59:00 2019 GMT	B6:19:1A:50:D0:C3:97:7F:7D:A9:9B:CD:AA:C8:6A:22:7D:AE:B9:67:9E:C7:0B:A3:B0:C9:D9:22:71:C1:70:D3	b6191a50d0c3977f7da99bcdaac86a227daeb9679ec70ba3b0c9d92271c170d3
039.pem	"O = ""Cybertrust, Inc"", CN = Cybertrust Global Root"	"O = ""Cybertrust, Inc"", CN = Cybertrust Global Root"	0400000000010F85AA2D48	Dec 15 08:00:00 2006 GMT	Dec 15 08:00:00 2021 GMT	96:0A:DF:00:63:E9:63:56:75:0C:29:65:DD:0A:08:67:DA:0B:9C:BD:6E:77:71:4A:EA:FB:23:49:AB:39:3D:A3	960adf0063e96356750c2965dd0a0867da0b9cbd6e77714aeafb2349ab393da3
040.pem	"C = TW, O = ""Chunghwa Telecom Co., Ltd."", OU = ePKI Root Certification Authority"	"C = TW, O = ""Chunghwa Telecom Co., Ltd."", OU = ePKI Root Certification Authority"	15C8BD65475CAFB897005EE406D2BC9D	Dec 20 02:31:27 2004 GMT	Dec 20 02:31:27 2034 GMT	C0:A6:F4:DC:63:A2:4B:FD:CF:54:EF:2A:6A:08:2A:0A:72:DE:35:80:3E:2F:F5:FF:52:7A:E5:D8:72:06:DF:D5	c0a6f4dc63a24bfdcf54ef2a6a082a0a72de35803e2ff5ff527ae5d87206dfd5
041.pem	C = RO, O = certSIGN, OU = certSIGN ROOT CA	C = RO, O = certSIGN, OU = certSIGN ROOT CA	200605167002	Jul  4 17:20:04 2006 GMT	Jul  4 17:20:04 2031 GMT	EA:A9:62:C4:FA:4A:6B:AF:EB:E4:15:19:6D:35:1C:CD:88:8D:4F:53:F3:FA:8A:E6:D7:C4:66:A9:4E:60:42:BB	eaa962c4fa4a6bafebe415196d351ccd888d4f53f3fa8ae6d7c466a94e6042bb
042.pem	C = US, O = GeoTrust Inc., OU = (c) 2008 GeoTrust Inc. - For authorized use only, CN = GeoTrust Primary Certification Authority - G3	C = US, O = GeoTrust Inc., OU = (c) 2008 GeoTrust Inc. - For authorized use only, CN = GeoTrust Primary Certification Authority - G3	15AC6E9419B2794B41F627A9C3180F1F	Apr  2 00:00:00 2008 GMT	Dec  1 23:59:59 2037 GMT	B4:78:B8:12:25:0D:F8:78:63:5C:2A:A7:EC:7D:15:5E:AA:62:5E:E8:29:16:E2:CD:29:43:61:88:6C:D1:FB:D4	b478b812250df878635c2aa7ec7d155eaa625ee82916e2cd294361886cd1fbd4
043.pem	"C = US, O = ""thawte, Inc."", OU = ""(c) 2007 thawte, Inc. - For authorized use only"", CN = thawte Primary Root CA - G2"	"C = US, O = ""thawte, Inc."", OU = ""(c) 2007 thawte, Inc. - For authorized use only"", CN = thawte Primary Root CA - G2"	35FC265CD9844FC93D263D579BAED756	Nov  5 00:00:00 2007 GMT	Jan 18 23:59:59 2038 GMT	A4:31:0D:50:AF:18:A6:44:71:90:37:2A:86:AF:AF:8B:95:1F:FB:43:1D:83:7F:1E:56:88:B4:59:71:ED:15:57	a4310d50af18a6447190372a86afaf8b951ffb431d837f1e5688b45971ed1557
044.pem	"C = US, O = ""thawte, Inc."", OU = Certification Services Division, OU = ""(c) 2008 thawte, Inc. - For authorized use only"", CN = thawte Primary Root CA - G3"	"C = US, O = ""thawte, Inc."", OU = Certification Services Division, OU = ""(c) 2008 thawte, Inc. - For authorized use only"", CN = thawte Primary Root CA - G3"	600197B746A7EAB4B49AD64B2FF790FB	Apr  2 00:00:00 2008 GMT	Dec  1 23:59:59 2037 GMT	4B:03:F4:58:07:AD:70:F2:1B:FC:2C:AE:71:C9:FD:E4:60:4C:06:4C:F5:FF:B6:86:BA:E5:DB:AA:D7:FD:D3:4C	4b03f45807ad70f21bfc2cae71c9fde4604c064cf5ffb686bae5dbaad7fdd34c
045.pem	C = US, O = GeoTrust Inc., OU = (c) 2007 GeoTrust Inc. - For authorized use only, CN = GeoTrust Primary Certification Authority - G2	C = US, O = GeoTrust Inc., OU = (c) 2007 GeoTrust Inc. - For authorized use only, CN = GeoTrust Primary Certification Authority - G2	3CB2F4480A00E2FEEB243B5E603EC36B	Nov  5 00:00:00 2007 GMT	Jan 18 23:59:59 2038 GMT	5E:DB:7A:C4:3B:82:A0:6A:87:61:E8:D7:BE:49:79:EB:F2:61:1F:7D:D7:9B:F9:1C:1C:6B:56:6A:21:9E:D7:66	5edb7ac43b82a06a8761e8d7be4979ebf2611f7dd79bf91c1c6b566a219ed766
046.pem	"C = US, O = ""VeriSign, Inc."", OU = VeriSign Trust Network, OU = ""(c) 2008 VeriSign, Inc. - For authorized use only"", CN = VeriSign Universal Root Certification Authority"	"C = US, O = ""VeriSign, Inc."", OU = VeriSign Trust Network, OU = ""(c) 2008 VeriSign, Inc. - For authorized use only"", CN = VeriSign Universal Root Certification Authority"	401AC46421B31321030EBBE4121AC51D	Apr  2 00:00:00 2008 GMT	Dec  1 23:59:59 2037 GMT	23:99:56:11:27:A5:71:25:DE:8C:EF:EA:61:0D:DF:2F:A0:78:B5:C8:06:7F:4E:82:82:90:BF:B8:60:E8:4B:3C	2399561127a57125de8cefea610ddf2fa078b5c8067f4e828290bfb860e84b3c
047.pem	"C = US, O = ""VeriSign, Inc."", OU = VeriSign Trust Network, OU = ""(c) 2007 VeriSign, Inc. - For authorized use only"", CN = VeriSign Class 3 Public Primary Certification Authority - G4"	"C = US, O = ""VeriSign, Inc."", OU = VeriSign Trust Network, OU = ""(c) 2007 VeriSign, Inc. - For authorized use only"", CN = VeriSign Class 3 Public Primary Certification Authority - G4"	2F80FE238C0E220F486712289187ACB3	Nov  5 00:00:00 2007 GMT	Jan 18 23:59:59 2038 GMT	69:DD:D7:EA:90:BB:57:C9:3E:13:5D:C8:5E:A6:FC:D5:48:0B:60:32:39:BD:C4:54:FC:75:8B:2A:26:CF:7F:79	69ddd7ea90bb57c93e135dc85ea6fcd5480b603239bdc454fc758b2a26cf7f79
048.pem	C = HU, L = Budapest, O = NetLock Kft., OU = Tan\C3\BAs\C3\ADtv\C3\A1nykiad\C3\B3k (Certification Services), CN = NetLock Arany (Class Gold) F\C5\91tan\C3\BAs\C3\ADtv\C3\A1ny	C = HU, L = Budapest, O = NetLock Kft., OU = Tan\C3\BAs\C3\ADtv\C3\A1nykiad\C3\B3k (Certification Services), CN = NetLock Arany (Class Gold) F\C5\91tan\C3\BAs\C3\ADtv\C3\A1ny	49412CE40010	Dec 11 15:08:21 2008 GMT	Dec  6 15:08:21 2028 GMT	6C:61:DA:C3:A2:DE:F0:31:50:6B:E0:36:D2:A6:FE:40:19:94:FB:D1:3D:F9:C8:D4:66:59:92:74:C4:46:EC:98	6c61dac3a2def031506be036d2a6fe401994fbd13df9c8d466599274c446ec98
049.pem	C = NL, O = Staat der Nederlanden, CN = Staat der Nederlanden Root CA - G2	C = NL, O = Staat der Nederlanden, CN = Staat der Nederlanden Root CA - G2	98968C	Mar 26 11:18:17 2008 GMT	Mar 25 11:03:10 2020 GMT	66:8C:83:94:7D:A6:3B:72:4B:EC:E1:74:3C:31:A0:E6:AE:D0:DB:8E:C5:B3:1B:E3:77:BB:78:4F:91:B6:71:6F	668c83947da63b724bece1743c31a0e6aed0db8ec5b31be377bb784f91b6716f
050.pem	C = HK, O = Hongkong Post, CN = Hongkong Post Root CA 1	C = HK, O = Hongkong Post, CN = Hongkong Post Root CA 1	03E8	May 15 05:13:14 2003 GMT	May 15 04:52:29 2023 GMT	F9:E6:7D:33:6C:51:00:2A:C0:54:C6:32:02:2D:66:DD:A2:E7:E3:FF:F1:0A:D0:61:ED:31:D8:BB:B4:10:CF:B2	f9e67d336c51002ac054c632022d66dda2e7e3fff10ad061ed31d8bbb410cfb2
051.pem	"C = JP, O = ""Japan Certification Services, Inc."", CN = SecureSign RootCA11"	"C = JP, O = ""Japan Certification Services, Inc."", CN = SecureSign RootCA11"	01	Apr  8 04:56:47 2009 GMT	Apr  8 04:56:47 2029 GMT	BF:0F:EE:FB:9E:3A:58:1A:D5:F9:E9:DB:75:89:98:57:43:D2:61:08:5C:4D:31:4F:6F:5D:72:59:AA:42:16:12	bf0feefb9e3a581ad5f9e9db7589985743d261085c4d314f6f5d7259aa421612
052.pem	C = HU, L = Budapest, O = Microsec Ltd., CN = Microsec e-Szigno Root CA 2009, emailAddress = info@e-szigno.hu	C = HU, L = Budapest, O = Microsec Ltd., CN = Microsec e-Szigno Root CA 2009, emailAddress = info@e-szigno.hu	C27E43044E473F19	Jun 16 11:30:18 2009 GMT	Dec 30 11:30:18 2029 GMT	3C:5F:81:FE:A5:FA:B8:2C:64:BF:A2:EA:EC:AF:CD:E8:E0:77:FC:86:20:A7:CA:E5:37:16:3D:F3:6E:DB:F3:78	3c5f81fea5fab82c64bfa2eaecafcde8e077fc8620a7cae537163df36edbf378
053.pem	OU = GlobalSign Root CA - R3, O = GlobalSign, CN = GlobalSign	OU = GlobalSign Root CA - R3, O = GlobalSign, CN = GlobalSign	04000000000121585308A2	Mar 18 10:00:00 2009 GMT	Mar 18 10:00:00 2029 GMT	CB:B5:22:D7:B7:F1:27:AD:6A:01:13:86:5B:DF:1C:D4:10:2E:7D:07:59:AF:63:5A:7C:F4:72:0D:C9:63:C5:3B	cbb522d7b7f127ad6a0113865bdf1cd4102e7d0759af635a7cf4720dc963c53b
054.pem	C = ES, CN = Autoridad de Certificacion Firmaprofesional CIF A62634068	C = ES, CN = Autoridad de Certificacion Firmaprofesional CIF A62634068	53EC3BEEFBB2485F	May 20 08:38:15 2009 GMT	Dec 31 08:38:15 2030 GMT	04:04:80:28:BF:1F:28:64:D4:8F:9A:D4:D8:32:94:36:6A:82:88:56:55:3F:3B:14:30:3F:90:14:7F:5D:40:EF	04048028bf1f2864d48f9ad4d83294366a828856553f3b14303f90147f5d40ef
055.pem	C = ES, O = IZENPE S.A., CN = Izenpe.com	C = ES, O = IZENPE S.A., CN = Izenpe.com	B0B75A16485FBFE1CBF58BD719E67D	Dec 13 13:08:28 2007 GMT	Dec 13 08:27:25 2037 GMT	25:30:CC:8E:98:32:15:02:BA:D9:6F:9B:1F:BA:1B:09:9E:2D:29:9E:0F:45:48:BB:91:4F:36:3B:C0:D4:53:1F	2530cc8e98321502bad96f9b1fba1b099e2d299e0f4548bb914f363bc0d4531f
056.pem	C = EU, L = Madrid (see current address at www.camerfirma.com/address), serialNumber = A82743287, O = AC Camerfirma S.A., CN = Chambers of Commerce Root - 2008	C = EU, L = Madrid (see current address at www.camerfirma.com/address), serialNumber = A82743287, O = AC Camerfirma S.A., CN = Chambers of Commerce Root - 2008	A3DA427EA4B1AEDA	Aug  1 12:29:50 2008 GMT	Jul 31 12:29:50 2038 GMT	06:3E:4A:FA:C4:91:DF:D3:32:F3:08:9B:85:42:E9:46:17:D8:93:D7:FE:94:4E:10:A7:93:7E:E2:9D:96:93:C0	063e4afac491dfd332f3089b8542e94617d893d7fe944e10a7937ee29d9693c0
057.pem	C = EU, L = Madrid (see current address at www.camerfirma.com/address), serialNumber = A82743287, O = AC Camerfirma S.A., CN = Global Chambersign Root - 2008	C = EU, L = Madrid (see current address at www.camerfirma.com/address), serialNumber = A82743287, O = AC Camerfirma S.A., CN = Global Chambersign Root - 2008	C9CDD3E9D57D23CE	Aug  1 12:31:40 2008 GMT	Jul 31 12:31:40 2038 GMT	13:63:35:43:93:34:A7:69:80:16:A0:D3:24:DE:72:28:4E:07:9D:7B:52:20:BB:8F:BD:74:78:16:EE:BE:BA:CA	136335439334a7698016a0d324de72284e079d7b5220bb8fbd747816eebebaca
058.pem	"C = US, ST = Arizona, L = Scottsdale, O = ""GoDaddy.com, Inc."", CN = Go Daddy Root Certificate Authority - G2"	"C = US, ST = Arizona, L = Scottsdale, O = ""GoDaddy.com, Inc."", CN = Go Daddy Root Certificate Authority - G2"	00	Sep  1 00:00:00 2009 GMT	Dec 31 23:59:59 2037 GMT	45:14:0B:32:47:EB:9C:C8:C5:B4:F0:D7:B5:30:91:F7:32:92:08:9E:6E:5A:63:E2:74:9D:D3:AC:A9:19:8E:DA	45140b3247eb9cc8c5b4f0d7b53091f73292089e6e5a63e2749dd3aca9198eda
059.pem	"C = US, ST = Arizona, L = Scottsdale, O = ""Starfield Technologies, Inc."", CN = Starfield Root Certificate Authority - G2"	"C = US, ST = Arizona, L = Scottsdale, O = ""Starfield Technologies, Inc."", CN = Starfield Root Certificate Authority - G2"	00	Sep  1 00:00:00 2009 GMT	Dec 31 23:59:59 2037 GMT	2C:E1:CB:0B:F9:D2:F9:E1:02:99:3F:BE:21:51:52:C3:B2:DD:0C:AB:DE:1C:68:E5:31:9B:83:91:54:DB:B7:F5	2ce1cb0bf9d2f9e102993fbe215152c3b2dd0cabde1c68e5319b839154dbb7f5
060.pem	"C = US, ST = Arizona, L = Scottsdale, O = ""Starfield Technologies, Inc."", CN = Starfield Services Root Certificate Authority - G2"	"C = US, ST = Arizona, L = Scottsdale, O = ""Starfield Technologies, Inc."", CN = Starfield Services Root Certificate Authority - G2"	00	Sep  1 00:00:00 2009 GMT	Dec 31 23:59:59 2037 GMT	56:8D:69:05:A2:C8:87:08:A4:B3:02:51:90:ED:CF:ED:B1:97:4A:60:6A:13:C6:E5:29:0F:CB:2A:E6:3E:DA:B5	568d6905a2c88708a4b3025190edcfedb1974a606a13c6e5290fcb2ae63edab5
061.pem	C = US, O = AffirmTrust, CN = AffirmTrust Commercial	C = US, O = AffirmTrust, CN = AffirmTrust Commercial	7777062726A9B17C	Jan 29 14:06:06 2010 GMT	Dec 31 14:06:06 2030 GMT	03:76:AB:1D:54:C5:F9:80:3C:E4:B2:E2:01:A0:EE:7E:EF:7B:57:B6:36:E8:A9:3C:9B:8D:48:60:C9:6F:5F:A7	0376ab1d54c5f9803ce4b2e201a0ee7eef7b57b636e8a93c9b8d4860c96f5fa7
062.pem	C = US, O = AffirmTrust, CN = AffirmTrust Networking	C = US, O = AffirmTrust, CN = AffirmTrust Networking	7C4F04391CD4992D	Jan 29 14:08:24 2010 GMT	Dec 31 14:08:24 2030 GMT	0A:81:EC:5A:92:97:77:F1:45:90:4A:F3:8D:5D:50:9F:66:B5:E2:C5:8F:CD:B5:31:05:8B:0E:17:F3:F0:B4:1B	0a81ec5a929777f145904af38d5d509f66b5e2c58fcdb531058b0e17f3f0b41b
063.pem	C = US, O = AffirmTrust, CN = AffirmTrust Premium	C = US, O = AffirmTrust, CN = AffirmTrust Premium	6D8C1446B1A60AEE	Jan 29 14:10:36 2010 GMT	Dec 31 14:10:36 2040 GMT	70:A7:3F:7F:37:6B:60:07:42:48:90:45:34:B1:14:82:D5:BF:0E:69:8E:CC:49:8D:F5:25:77:EB:F2:E9:3B:9A	70a73f7f376b60074248904534b11482d5bf0e698ecc498df52577ebf2e93b9a
064.pem	C = US, O = AffirmTrust, CN = AffirmTrust Premium ECC	C = US, O = AffirmTrust, CN = AffirmTrust Premium ECC	7497258AC73F7A54	Jan 29 14:20:24 2010 GMT	Dec 31 14:20:24 2040 GMT	BD:71:FD:F6:DA:97:E4:CF:62:D1:64:7A:DD:25:81:B0:7D:79:AD:F8:39:7E:B4:EC:BA:9C:5E:84:88:82:14:23	bd71fdf6da97e4cf62d1647add2581b07d79adf8397eb4ecba9c5e8488821423
065.pem	C = PL, O = Unizeto Technologies S.A., OU = Certum Certification Authority, CN = Certum Trusted Network CA	C = PL, O = Unizeto Technologies S.A., OU = Certum Certification Authority, CN = Certum Trusted Network CA	0444C0	Oct 22 12:07:37 2008 GMT	Dec 31 12:07:37 2029 GMT	5C:58:46:8D:55:F5:8E:49:7E:74:39:82:D2:B5:00:10:B6:D1:65:37:4A:CF:83:A7:D4:A3:2D:B7:68:C4:40:8E	5c58468d55f58e497e743982d2b50010b6d165374acf83a7d4a32db768c4408e
066.pem	C = TW, O = TAIWAN-CA, OU = Root CA, CN = TWCA Root Certification Authority	C = TW, O = TAIWAN-CA, OU = Root CA, CN = TWCA Root Certification Authority	01	Aug 28 07:24:33 2008 GMT	Dec 31 15:59:59 2030 GMT	BF:D8:8F:E1:10:1C:41:AE:3E:80:1B:F8:BE:56:35:0E:E9:BA:D1:A6:B9:BD:51:5E:DC:5C:6D:5B:87:11:AC:44	bfd88fe1101c41ae3e801bf8be56350ee9bad1a6b9bd515edc5c6d5b8711ac44
067.pem	"C = JP, O = ""SECOM Trust Systems CO.,LTD."", OU = Security Communication RootCA2"	"C = JP, O = ""SECOM Trust Systems CO.,LTD."", OU = Security Communication RootCA2"	00	May 29 05:00:39 2009 GMT	May 29 05:00:39 2029 GMT	51:3B:2C:EC:B8:10:D4:CD:E5:DD:85:39:1A:DF:C6:C2:DD:60:D8:7B:B7:36:D2:B5:21:48:4A:A4:7A:0E:BE:F6	513b2cecb810d4cde5dd85391adfc6c2dd60d87bb736d2b521484aa47a0ebef6
068.pem	C = ES, O = Agencia Catalana de Certificacio (NIF Q-0801176-I), OU = Serveis Publics de Certificacio, OU = Vegeu https://www.catcert.net/verarrel (c)03, OU = Jerarquia Entitats de Certificacio Catalanes, CN = EC-ACC	C = ES, O = Agencia Catalana de Certificacio (NIF Q-0801176-I), OU = Serveis Publics de Certificacio, OU = Vegeu https://www.catcert.net/verarrel (c)03, OU = Jerarquia Entitats de Certificacio Catalanes, CN = EC-ACC	-11D4C2142BDE21EB579D53FB0C223BFF	Jan  7 23:00:00 2003 GMT	Jan  7 22:59:59 2031 GMT	88:49:7F:01:60:2F:31:54:24:6A:E2:8C:4D:5A:EF:10:F1:D8:7E:BB:76:62:6F:4A:E0:B7:F9:5B:A7:96:87:99	88497f01602f3154246ae28c4d5aef10f1d87ebb76626f4ae0b7f95ba7968799
069.pem	C = GR, O = Hellenic Academic and Research Institutions Cert. Authority, CN = Hellenic Academic and Research Institutions RootCA 2011	C = GR, O = Hellenic Academic and Research Institutions Cert. Authority, CN = Hellenic Academic and Research Institutions RootCA 2011	00	Dec  6 13:49:52 2011 GMT	Dec  1 13:49:52 2031 GMT	BC:10:4F:15:A4:8B:E7:09:DC:A5:42:A7:E1:D4:B9:DF:6F:05:45:27:E8:02:EA:A9:2D:59:54:44:25:8A:FE:71	bc104f15a48be709dca542a7e1d4b9df6f054527e802eaa92d595444258afe71
070.pem	C = IT, L = Milan, O = Actalis S.p.A./03358520967, CN = Actalis Authentication Root CA	C = IT, L = Milan, O = Actalis S.p.A./03358520967, CN = Actalis Authentication Root CA	570A119742C4E3CC	Sep 22 11:22:02 2011 GMT	Sep 22 11:22:02 2030 GMT	55:92:60:84:EC:96:3A:64:B9:6E:2A:BE:01:CE:0B:A8:6A:64:FB:FE:BC:C7:AA:B5:AF:C1:55:B3:7F:D7:60:66	55926084ec963a64b96e2abe01ce0ba86a64fbfebcc7aab5afc155b37fd76066
071.pem	C = GB, O = Trustis Limited, OU = Trustis FPS Root CA	C = GB, O = Trustis Limited, OU = Trustis FPS Root CA	1B1FADB620F924D3366BF7C7F18CA059	Dec 23 12:14:06 2003 GMT	Jan 21 11:36:54 2024 GMT	C1:B4:82:99:AB:A5:20:8F:E9:63:0A:CE:55:CA:68:A0:3E:DA:5A:51:9C:88:02:A0:D3:A6:73:BE:8F:8E:55:7D	c1b48299aba5208fe9630ace55ca68a03eda5a519c8802a0d3a673be8f8e557d
072.pem	C = NO, O = Buypass AS-983163327, CN = Buypass Class 2 Root CA	C = NO, O = Buypass AS-983163327, CN = Buypass Class 2 Root CA	02	Oct 26 08:38:03 2010 GMT	Oct 26 08:38:03 2040 GMT	9A:11:40:25:19:7C:5B:B9:5D:94:E6:3D:55:CD:43:79:08:47:B6:46:B2:3C:DF:11:AD:A4:A0:0E:FF:15:FB:48	9a114025197c5bb95d94e63d55cd43790847b646b23cdf11ada4a00eff15fb48
073.pem	C = NO, O = Buypass AS-983163327, CN = Buypass Class 3 Root CA	C = NO, O = Buypass AS-983163327, CN = Buypass Class 3 Root CA	02	Oct 26 08:28:58 2010 GMT	Oct 26 08:28:58 2040 GMT	ED:F7:EB:BC:A2:7A:2A:38:4D:38:7B:7D:40:10:C6:66:E2:ED:B4:84:3E:4C:29:B4:AE:1D:5B:93:32:E6:B2:4D	edf7ebbca27a2a384d387b7d4010c666e2edb4843e4c29b4ae1d5b9332e6b24d
074.pem	C = DE, O = T-Systems Enterprise Services GmbH, OU = T-Systems Trust Center, CN = T-TeleSec GlobalRoot Class 3	C = DE, O = T-Systems Enterprise Services GmbH, OU = T-Systems Trust Center, CN = T-TeleSec GlobalRoot Class 3	01	Oct  1 10:29:56 2008 GMT	Oct  1 23:59:59 2033 GMT	FD:73:DA:D3:1C:64:4F:F1:B4:3B:EF:0C:CD:DA:96:71:0B:9C:D9:87:5E:CA:7E:31:70:7A:F3:E9:6D:52:2B:BD	fd73dad31c644ff1b43bef0ccdda96710b9cd9875eca7e31707af3e96d522bbd
075.pem	C = EE, O = AS Sertifitseerimiskeskus, CN = EE Certification Centre Root CA, emailAddress = pki@sk.ee	C = EE, O = AS Sertifitseerimiskeskus, CN = EE Certification Centre Root CA, emailAddress = pki@sk.ee	5480F9A073ED3F004CCA89D8E371E64A	Oct 30 10:10:30 2010 GMT	Dec 17 23:59:59 2030 GMT	3E:84:BA:43:42:90:85:16:E7:75:73:C0:99:2F:09:79:CA:08:4E:46:85:68:1F:F1:95:CC:BA:8A:22:9B:8A:76	3e84ba4342908516e77573c0992f0979ca084e4685681ff195ccba8a229b8a76
076.pem	C = DE, O = D-Trust GmbH, CN = D-TRUST Root Class 3 CA 2 2009	C = DE, O = D-Trust GmbH, CN = D-TRUST Root Class 3 CA 2 2009	0983F3	Nov  5 08:35:58 2009 GMT	Nov  5 08:35:58 2029 GMT	49:E7:A4:42:AC:F0:EA:62:87:05:00:54:B5:25:64:B6:50:E4:F4:9E:42:E3:48:D6:AA:38:E0:39:E9:57:B1:C1	49e7a442acf0ea6287050054b52564b650e4f49e42e348d6aa38e039e957b1c1
077.pem	C = DE, O = D-Trust GmbH, CN = D-TRUST Root Class 3 CA 2 EV 2009	C = DE, O = D-Trust GmbH, CN = D-TRUST Root Class 3 CA 2 EV 2009	0983F4	Nov  5 08:50:46 2009 GMT	Nov  5 08:50:46 2029 GMT	EE:C5:49:6B:98:8C:E9:86:25:B9:34:09:2E:EC:29:08:BE:D0:B0:F3:16:C2:D4:73:0C:84:EA:F1:F3:D3:48:81	eec5496b988ce98625b934092eec2908bed0b0f316c2d4730c84eaf1f3d34881
078.pem	C = SK, L = Bratislava, O = Disig a.s., CN = CA Disig Root R2	C = SK, L = Bratislava, O = Disig a.s., CN = CA Disig Root R2	92B888DBB08AC163	Jul 19 09:15:30 2012 GMT	Jul 19 09:15:30 2042 GMT	E2:3D:4A:03:6D:7B:70:E9:F5:95:B1:42:20:79:D2:B9:1E:DF:BB:1F:B6:51:A0:63:3E:AA:8A:9D:C5:F8:07:03	e23d4a036d7b70e9f595b1422079d2b91edfbb1fb651a0633eaa8a9dc5f80703
079.pem	CN = ACCVRAIZ1, OU = PKIACCV, O = ACCV, C = ES	CN = ACCVRAIZ1, OU = PKIACCV, O = ACCV, C = ES	5EC3B7A6437FA4E0	May  5 09:37:37 2011 GMT	Dec 31 09:37:37 2030 GMT	9A:6E:C0:12:E1:A7:DA:9D:BE:34:19:4D:47:8A:D7:C0:DB:18:22:FB:07:1D:F1:29:81:49:6E:D1:04:38:41:13	9a6ec012e1a7da9dbe34194d478ad7c0db1822fb071df12981496ed104384113
080.pem	C = TW, O = TAIWAN-CA, OU = Root CA, CN = TWCA Global Root CA	C = TW, O = TAIWAN-CA, OU = Root CA, CN = TWCA Global Root CA	0CBE	Jun 27 06:28:33 2012 GMT	Dec 31 15:59:59 2030 GMT	59:76:90:07:F7:68:5D:0F:CD:50:87:2F:9F:95:D5:75:5A:5B:2B:45:7D:81:F3:69:2B:61:0A:98:67:2F:0E:1B	59769007f7685d0fcd50872f9f95d5755a5b2b457d81f3692b610a98672f0e1b
081.pem	O = TeliaSonera, CN = TeliaSonera Root CA v1	O = TeliaSonera, CN = TeliaSonera Root CA v1	95BE16A0F72E46F17B398272FA8BCD96	Oct 18 12:00:50 2007 GMT	Oct 18 12:00:50 2032 GMT	DD:69:36:FE:21:F8:F0:77:C1:23:A1:A5:21:C1:22:24:F7:22:55:B7:3E:03:A7:26:06:93:E8:A2:4B:0F:A3:89	dd6936fe21f8f077c123a1a521c12224f72255b73e03a7260693e8a24b0fa389
082.pem	C = TR, L = Ankara, O = E-Tu\C4\9Fra EBG Bili\C5\9Fim Teknolojileri ve Hizmetleri A.\C5\9E., OU = E-Tugra Sertifikasyon Merkezi, CN = E-Tugra Certification Authority	C = TR, L = Ankara, O = E-Tu\C4\9Fra EBG Bili\C5\9Fim Teknolojileri ve Hizmetleri A.\C5\9E., OU = E-Tugra Sertifikasyon Merkezi, CN = E-Tugra Certification Authority	6A683E9C519BCB53	Mar  5 12:09:48 2013 GMT	Mar  3 12:09:48 2023 GMT	B0:BF:D5:2B:B0:D7:D9:BD:92:BF:5D:4D:C1:3D:A2:55:C0:2C:54:2F:37:83:65:EA:89:39:11:F5:5E:55:F2:3C	b0bfd52bb0d7d9bd92bf5d4dc13da255c02c542f378365ea893911f55e55f23c
083.pem	C = DE, O = T-Systems Enterprise Services GmbH, OU = T-Systems Trust Center, CN = T-TeleSec GlobalRoot Class 2	C = DE, O = T-Systems Enterprise Services GmbH, OU = T-Systems Trust Center, CN = T-TeleSec GlobalRoot Class 2	01	Oct  1 10:40:14 2008 GMT	Oct  1 23:59:59 2033 GMT	91:E2:F5:78:8D:58:10:EB:A7:BA:58:73:7D:E1:54:8A:8E:CA:CD:01:45:98:BC:0B:14:3E:04:1B:17:05:25:52	91e2f5788d5810eba7ba58737de1548a8ecacd014598bc0b143e041b17052552
084.pem	CN = Atos TrustedRoot 2011, O = Atos, C = DE	CN = Atos TrustedRoot 2011, O = Atos, C = DE	5C33CB622C5FB332	Jul  7 14:58:30 2011 GMT	Dec 31 23:59:59 2030 GMT	F3:56:BE:A2:44:B7:A9:1E:B3:5D:53:CA:9A:D7:86:4A:CE:01:8E:2D:35:D5:F8:F9:6D:DF:68:A6:F4:1A:A4:74	f356bea244b7a91eb35d53ca9ad7864ace018e2d35d5f8f96ddf68a6f41aa474
085.pem	C = BM, O = QuoVadis Limited, CN = QuoVadis Root CA 1 G3	C = BM, O = QuoVadis Limited, CN = QuoVadis Root CA 1 G3	78585F2EAD2C194BE3370735341328B596D46593	Jan 12 17:27:44 2012 GMT	Jan 12 17:27:44 2042 GMT	8A:86:6F:D1:B2:76:B5:7E:57:8E:92:1C:65:82:8A:2B:ED:58:E9:F2:F2:88:05:41:34:B7:F1:F4:BF:C9:CC:74	8a866fd1b276b57e578e921c65828a2bed58e9f2f288054134b7f1f4bfc9cc74
