path	url
assets/jsb-adapter/jsb-builtin.js	http://eligrey.com
assets/jsb-adapter/jsb-builtin.js	https://github.com/dsamarin
assets/jsb-adapter/jsb-builtin.js	https://github.com/eligrey/Blob.js/blob/master/LICENSE.md
assets/jsb-adapter/jsb-builtin.js	http://purl.eligrey.com/github/Blob.js/blob/master/Blob.js
assets/jsb-adapter/jsb-builtin.js	http://www.w3.org/1999/xhtml
assets/jsb-adapter/jsb-builtin.js	https://dom.spec.whatwg.org/#interface-event
assets/jsb-adapter/jsb-builtin.js	https://heycam.github.io/webidl/#Unforgeable
assets/jsb-adapter/jsb-builtin.js	https://github.com/taylorhakes
assets/jsb-adapter/jsb-builtin.js	https://github.com/taylorhakes/promise-polyfill/blob/master/LICENSE
assets/jsb-adapter/jsb-builtin.js	https://cdn.jsdelivr.net/npm/promise-polyfill@8/dist/polyfill.js
assets/jsb-adapter/jsb-builtin.js	http://www.cocos.com
assets/jsb-adapter/jsb-builtin.js	https://www.khronos.org/registry/OpenGL/extensions/ARB/ARB_texture_float.txt
assets/jsb-adapter/jsb-builtin.js	http://www.w3.org/XML/1998/namespace
assets/jsb-adapter/jsb-builtin.js	http://www.saxproject.org/apidoc/org/xml/sax/helpers/DefaultHandler.html
assets/jsb-adapter/jsb-builtin.js	http://www.saxproject.org/apidoc/org/xml/sax/ContentHandler.html
assets/jsb-adapter/jsb-builtin.js	http://www.saxproject.org/apidoc/org/xml/sax/ErrorHandler.html
assets/jsb-adapter/jsb-builtin.js	http://www.saxproject.org/apidoc/org/xml/sax/ext/LexicalHandler.html
assets/jsb-adapter/jsb-builtin.js	http://www.saxproject.org/apidoc/org/xml/sax/ext/DeclHandler.html
assets/jsb-adapter/jsb-builtin.js	http://www.saxproject.org/apidoc/org/xml/sax/ext/EntityResolver2.html
assets/jsb-adapter/jsb-builtin.js	http://www.saxproject.org/apidoc/org/xml/sax/DTDHandler.html
assets/jsb-adapter/jsb-builtin.js	http://www.w3.org/TR/REC-DOM-Level-1/ecma-script-language-binding.html
assets/jsb-adapter/jsb-builtin.js	http://www.w3.org/TR/2000/REC-DOM-Level-2-Core-20001113/ecma-script-binding.html
assets/jsb-adapter/jsb-builtin.js	http://www.w3.org/TR/2000/REC-DOM-Level-2-Core-20001113/core.html#ID-536297177
assets/jsb-adapter/jsb-builtin.js	http://www.w3.org/TR/REC-DOM-Level-1/level-one-core.html#ID-102161490
assets/jsb-adapter/jsb-builtin.js	http://www.w3.org/TR/2000/REC-DOM-Level-2-Core-20001113/core.html#ID-1950641247
